InvoiceNo,Quantity,UnitPrice,CustomerID,TotalPrice,Year,Month,Day,Weekday,Cluster
8270,65,469.4591589666759,1009,30514.84533283393,2012,11,14,3,3
1860,70,214.2375831610299,1056,14996.630821272092,2011,3,12,4,3
6390,69,387.3042394560858,1046,26723.99252246992,2010,5,4,4,3
6191,60,235.733402113938,1085,14144.004126836277,2011,6,22,5,3
6734,50,148.31889652817642,1026,7415.944826408821,2012,7,13,6,3
7265,93,369.893310212198,1038,34400.07784973441,2010,10,20,2,3
1466,12,399.3028648566823,1021,4791.634378280187,2010,2,28,2,3
5426,47,102.21755624625943,1018,4804.225143574194,2010,5,10,3,3
6578,67,153.27958152062,1099,10269.731961881542,2011,7,2,0,3
9322,65,247.89364489335745,1008,16113.086918068237,2011,7,25,5,3
2685,27,94.07439305367149,1018,2540.00861244913,2011,12,17,3,3
1769,48,464.4883150781425,1001,22295.43912375084,2010,3,10,0,3
7949,88,296.0756223678135,1091,26054.654768367585,2012,8,23,1,3
3433,62,61.48043540847465,1060,3811.786995325428,2012,1,16,4,3
6311,44,92.83090247654856,1058,4084.559708968137,2010,4,9,1,3
6051,19,477.2233173170974,1085,9067.24302902485,2012,3,19,3,3
7420,59,369.3461242626125,1069,21791.42133149414,2010,4,11,0,3
2184,8,367.46813716798806,1070,2939.7450973439045,2012,11,6,0,3
5555,55,37.17679840852222,1069,2044.723912468722,2012,9,25,1,3
4385,47,447.75412001676455,1032,21044.443640787933,2012,11,25,2,3
7396,2,222.4239459167437,1077,444.8478918334874,2011,12,4,2,3
9666,94,330.1989439973232,1064,31038.700735748374,2011,8,16,5,3
3558,94,479.88492033789294,1024,45109.18251176194,2010,11,12,1,3
8849,39,50.9061777979219,1069,1985.340934118954,2011,4,24,2,3
3047,45,241.6559532838028,1027,10874.517897771126,2010,8,24,0,3
3747,32,25.75675559430396,1017,824.2161790177266,2011,1,27,3,3
1189,65,250.273166238534,1062,16267.75580550471,2012,12,16,2,3
3734,38,126.87744583329795,1090,4821.3429416653225,2011,8,23,5,3
4005,77,455.6216991076615,1048,35082.87083128993,2011,10,22,0,3
5658,11,199.84775464227036,1065,2198.3253010649737,2011,2,3,5,3
2899,10,317.3023505799875,1039,3173.023505799875,2010,6,12,6,3
8734,59,430.28334514246,1084,25386.717363405136,2010,6,15,3,3
2267,90,491.8622373501711,1086,44267.6013615154,2012,3,20,0,3
2528,55,252.40586579394443,1065,13882.322618666944,2012,5,12,6,3
4556,20,228.4230937278665,1079,4568.46187455733,2012,2,9,6,3
4890,81,38.7940830029329,1003,3142.320723237565,2011,11,10,6,3
9838,17,7.356732725270303,1033,125.06445632959516,2012,8,23,4,3
6393,68,304.7922441567496,1004,20725.87260265897,2010,8,27,6,3
9792,5,33.66671172167536,1097,168.33355860837682,2012,5,8,3,3
9433,60,190.8090895821981,1021,11448.545374931888,2012,7,13,4,3
8513,23,2.799611617124287,1019,64.3910671938586,2012,8,22,6,3
3612,46,307.9985219838697,1046,14167.932011258006,2012,11,15,2,3
8041,52,213.2821650598076,1076,11090.672583109996,2012,4,28,5,3
7235,10,64.38336412335764,1033,643.8336412335764,2010,2,17,2,3
6486,46,148.88743581357022,1043,6848.82204742423,2011,5,27,0,3
8099,28,285.2606887869904,1005,7987.299286035729,2012,7,12,1,3
1775,97,328.6999706369785,1055,31883.89715178692,2011,12,16,0,3
9226,43,231.70560395206,1028,9963.340969938576,2012,4,25,6,3
4152,26,402.175598929382,1096,10456.56557216393,2011,4,11,5,3
2585,55,57.10776543978986,1052,3140.9270991884423,2010,4,19,5,3
4943,48,43.18831558359148,1000,2073.0391480123917,2011,9,13,5,3
8555,29,23.077890239886347,1058,669.2588169567041,2012,9,3,4,3
4073,27,268.37809188527166,1047,7246.2084809023345,2011,11,25,5,3
2021,18,353.4096204129945,1006,6361.3731674339015,2011,10,4,3,3
4843,60,66.13017831184233,1085,3967.81069871054,2012,8,24,1,3
8989,74,319.83386530584085,1031,23667.706032632224,2011,11,15,0,3
7873,69,238.99693532857785,1077,16490.78853767187,2012,8,14,4,3
6675,74,493.6849055754065,1060,36532.68301258008,2010,7,28,4,3
1161,21,359.01933102393934,1056,7539.405951502727,2012,1,11,2,3
5297,24,329.0791942606213,1050,7897.900662254911,2010,8,28,0,3
1995,3,285.6544177012999,1087,856.9632531038997,2011,11,13,0,3
8629,95,498.6857245933022,1018,47375.14383636371,2012,11,20,5,3
2016,62,490.24912625643407,1026,30395.44582789891,2011,4,18,6,3
8869,2,269.51944762176623,1062,539.0388952435325,2010,1,13,5,3
7439,66,228.1364903197966,1059,15057.008361106577,2010,1,21,4,3
8892,42,231.5953464281744,1060,9727.004549983323,2011,3,27,0,3
7863,34,214.74285277135945,1060,7301.256994226222,2012,3,19,5,3
8916,42,266.1677551911648,1086,11179.04571802892,2012,10,4,6,3
9529,20,137.518549639371,1044,2750.37099278742,2012,1,12,2,3
1878,97,463.4676027740989,1020,44956.35746908759,2012,8,3,1,3
5887,68,245.6248106495057,1043,16702.487124166386,2010,4,16,4,3
5859,45,421.161898107466,1092,18952.28541483597,2012,12,1,2,3
7331,75,238.1765336591424,1000,17863.24002443568,2011,4,4,2,3
9571,42,359.4268466812112,1094,15095.927560610871,2010,6,9,3,3
9684,47,169.10410027381343,1090,7947.892712869231,2011,9,23,1,3
8208,5,312.778622008897,1043,1563.893110044485,2011,9,13,2,3
6276,89,249.6873512800088,1099,22222.17426392078,2011,12,22,3,3
3062,49,184.1900140102713,1061,9025.310686503297,2010,8,10,3,3
1064,37,440.8965742729325,1060,16313.173248098505,2012,1,9,0,3
9006,34,57.243129691705576,1090,1946.2664095179896,2011,12,20,5,3
3568,73,243.9746510112361,1078,17810.149523820233,2011,10,6,2,3
6463,70,97.99016755980225,1088,6859.311729186156,2012,10,19,4,3
3027,18,430.66649051757815,1078,7751.996829316407,2012,2,3,0,3
3695,78,127.48120301311604,1082,9943.533835023052,2012,3,10,1,3
6258,19,317.081739715799,1049,6024.553054600181,2012,11,10,5,3
6618,78,83.61619402759167,1074,6522.06313415215,2011,5,24,4,3
7736,40,203.05192106594748,1040,8122.076842637899,2010,5,21,4,3
1391,17,449.7792406290328,1032,7646.247090693557,2012,10,24,3,3
6892,60,83.86615775656828,1086,5031.969465394097,2012,8,25,2,3
4561,99,331.9347168488215,1011,32861.53696803333,2011,2,2,3,3
7184,93,103.05067490742144,1001,9583.712766390194,2012,2,13,3,3
4099,42,208.4587772135508,1020,8755.268642969133,2011,8,7,2,3
7278,81,270.7678253029251,1013,21932.19384953693,2011,1,13,2,3
9392,72,289.07590267668417,1033,20813.46499272126,2011,9,14,6,3
4104,65,301.65315743902454,1078,19607.455233536595,2011,2,28,2,3
8215,53,320.4255762800702,1084,16982.55554284372,2012,12,18,3,3
3454,7,136.61258013922497,1063,956.2880609745748,2010,5,14,5,3
9996,5,201.2823753728624,1022,1006.411876864312,2012,3,23,6,3
3731,24,19.622013123957142,1084,470.9283149749714,2010,5,27,2,3
9154,28,384.6097312891562,1049,10769.072476096371,2012,12,13,2,3
6056,62,418.7126513926623,1013,25960.184386345063,2011,8,19,4,3
9110,17,100.41914497928722,1084,1707.1254646478828,2012,8,8,3,3
4840,20,101.52053835021124,1075,2030.410767004225,2011,6,4,2,3
2028,3,21.97616469301993,1045,65.92849407905979,2012,9,9,3,3
8385,37,485.2215275734512,1004,17953.196520217694,2011,7,12,1,3
1502,90,403.7860974904973,1065,36340.74877414476,2010,2,20,0,3
7910,15,180.99089825011,1021,2714.86347375165,2011,1,2,4,3
7938,51,241.4722274634428,1069,12315.083600635584,2012,8,4,6,3
5488,48,146.69151336478342,1001,7041.192641509604,2011,1,21,4,3
1206,8,299.0247401927201,1028,2392.197921541761,2010,8,24,6,3
6134,13,358.9368977544206,1060,4666.179670807468,2010,12,19,3,3
6977,48,224.23687051794417,1099,10763.36978486132,2012,9,9,2,3
8721,3,436.9235024525201,1070,1310.7705073575603,2011,1,9,6,3
8035,65,258.99590524718616,1015,16834.7338410671,2012,7,11,3,3
2484,73,72.98238126982757,1063,5327.713832697413,2011,5,10,5,3
8858,31,311.5233965429832,1096,9657.225292832478,2010,8,3,0,3
1863,26,231.65325198799349,1096,6022.98455168783,2012,4,8,4,3
3790,81,467.9002596777812,1013,37899.92103390028,2010,2,22,4,3
8408,56,196.55506654702083,1042,11007.083726633164,2011,7,11,0,3
9755,34,202.0300038359019,1075,6869.020130420665,2010,7,6,3,3
6116,9,325.73592150102354,1042,2931.623293509212,2011,8,18,4,3
7019,62,263.9661229448876,1069,16365.899622583029,2012,9,8,2,3
2757,13,187.850488891679,1054,2442.056355591827,2011,6,23,3,3
8574,69,494.89743342436464,1075,34147.92290628116,2011,3,2,2,3
7374,41,151.790569489709,1030,6223.41334907807,2012,5,20,6,3
7892,77,139.48686720052925,1075,10740.488774440752,2012,3,5,5,3
2678,1,432.3493866325296,1073,432.3493866325296,2010,10,25,5,3
4242,89,2.683098831727198,1039,238.7957960237206,2011,9,10,5,3
5636,47,101.42532729154892,1026,4766.990382702799,2011,5,18,1,3
2059,4,295.63289744272606,1051,1182.5315897709042,2010,7,12,0,3
7668,63,82.06281339448776,1006,5169.957243852729,2011,10,28,5,3
4157,52,492.9161574390705,1045,25631.640186831668,2011,7,23,4,3
6915,10,232.6336155883939,1099,2326.3361558839388,2012,7,21,0,3
3693,28,299.0846734053149,1032,8374.370855348818,2012,12,2,0,3
4627,6,81.02635908749137,1090,486.15815452494826,2012,10,10,2,3
6450,27,145.399672335092,1007,3925.791153047484,2010,4,12,6,3
2663,12,307.6977665570284,1004,3692.373198684341,2012,4,19,4,3
6592,62,275.22713326991243,1060,17064.08226273457,2010,3,5,1,3
8392,52,392.39760877514186,1071,20404.675656307376,2012,4,10,0,3
2306,48,135.34735610858377,1059,6496.673093212021,2011,9,1,2,3
7776,67,327.11753120656044,1084,21916.87459083955,2011,5,7,5,3
6864,46,146.19677736868385,1023,6725.051758959457,2012,6,1,2,3
8526,97,293.78955725331406,1006,28497.587053571464,2012,4,22,5,3
9901,74,302.9104528749191,1060,22415.37351274401,2010,1,28,6,3
6575,95,61.7977165658899,1082,5870.7830737595405,2011,7,22,4,3
6530,15,274.7679222324468,1094,4121.518833486702,2012,7,17,3,3
5413,71,6.957211677137066,1035,493.96202907673165,2012,6,12,3,3
4748,36,251.10416493597103,1026,9039.749937694958,2011,4,7,6,3
1663,14,349.0634224154294,1028,4886.887913816012,2012,10,8,1,3
2998,78,37.34353176600437,1086,2912.7954777483405,2011,8,3,6,3
8994,3,469.4166973920965,1019,1408.2500921762896,2012,12,15,5,3
2495,67,229.9190104627377,1069,15404.573701003426,2011,8,12,2,3
